symbol,companyName,industry
PIGL,Power & Instrumentation (Gujarat) Limited,Other Electrical Equipment
SITINET,Siti Networks Limited,TV Broadcasting & Software Production
ISHANCH,Ishan Dyes and Chemicals Limited,Specialty Chemicals
DPSCLTD,DPSC Limited,Integrated Power Utilities
GEECEE,GeeCee Ventures Limited,Residential Commercial Projects
SPMLINFRA,SPML Infra Limited,Civil Construction
SAMPANN,Sampann Utpadan India Limited,Rubber
NIMBSPROJ,Nimbus Projects Limited,Residential Commercial Projects
CONFIPET,Confidence Petroleum India Limited,LPG/CNG/PNG/LNG Supplier
INDOWIND,Indowind Energy Limited,Power Generation
CTE,Cambridge Technology Enterprises Limited,Computers - Software & Consulting
MOTISONS,Motisons Jewellers Limited,Gems Jewellery And Watches
BAGFILMS,B.A.G Films and Media Limited,TV Broadcasting & Software Production
DCMSRIND,DCM Shriram Industries Limited,Sugar
GOCLCORP,GOCL Corporation Limited,Explosives
PASHUPATI,Pashupati Cotspin Limited,Other Textile Products
SADHNANIQ,Sadhana Nitrochem Limited,Commodity Chemicals
UTTAMSUGAR,Uttam Sugar Mills Limited,Sugar
TEXMOPIPES,Texmo Pipes and Products Limited,Plastic Products - Industrial
HSCL,Himadri Speciality Chemical Limited,Carbon Black
AVONMORE,Avonmore Capital & Management Services Limited,Non Banking Financial Company (NBFC)
ARSHIYA,Arshiya Limited,Logistics Solution Provider
VELJAN,Veljan Denison Limited,Compressors Pumps & Diesel Engines
EBGNG,GNG Electronics Limited,Computers Hardware & Equipments
ABINFRA,A B Infrabuild Limited,Civil Construction
GOKUL,Gokul Refoils and Solvent Limited,Edible Oil
SURYALAXMI,Suryalakshmi Cotton Mills Limited,Other Textile Products
ENERGYDEV,Energy Development Company Limited,Power Generation
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,Other Agricultural Products
OMFREIGHT,Om Freight Forwarders Limited,Logistics Solution Provider
RSL,Rajputana Stainless Limited,Iron & Steel Products
KALPATARU,Kalpataru Limited,Residential Commercial Projects
VGL,VARVEE GLOBAL LIMITED,Other Textile Products
RAJMET,Rajnandini Metal Limited,Aluminium Copper & Zinc Products
RKEC,RKEC Projects Limited,Civil Construction
CCHHL,Country Club Hospitality & Holidays Limited,Hotels & Resorts
WAKEFIT,Wakefit Innovations Limited,Furniture Home Furnishing
AKG,Akg Exim Limited,Trading & Distributors
CIFL,Capital India Finance Limited,Non Banking Financial Company (NBFC)
GATECH,GACM Technologies Limited,Other Financial Services
SIGMA,Sigma Solve Limited,IT Enabled Services
GANGAFORGE,Ganga Forging Limited,Castings & Forgings
BFUTILITIE,BF Utilities Limited,Road Assets - Toll Annuity Hybrid-Annuity
BELLACASA,Bella Casa Fashion & Retail Limited,Garments & Apparels
AKSHAR,Akshar Spintex Limited,Other Textile Products
DBSTOCKBRO,DB (International) Stock Brokers Limited,Stockbroking & Allied
MOKSH,Moksh Ornaments Limited,Gems Jewellery And Watches
KRIDHANINF,Kridhan Infra Limited,Civil Construction
SAKUMA,Sakuma Exports Limited,Trading & Distributors
ATLANTAELE,Atlanta Electricals Limited,Heavy Electrical Equipment
TNPL,Tamil Nadu Newsprint & Papers Limited,Paper & Paper Products
IRMENERGY,IRM Energy Limited,LPG/CNG/PNG/LNG Supplier
JMFINANCIL,JM Financial Limited,Holding Company
ELPROINTL,Elpro International Limited,Residential Commercial Projects
SAHAJSOLAR,Sahaj Solar Limited,Other Electrical Equipment
KOTHARIPRO,Kothari Products Limited,Trading & Distributors
APTECHT,Aptech Limited,Education
21STCENMGM,21st Century Management Services Limited,Other Capital Market related Services
SWELECTES,Swelect Energy Systems Limited,Heavy Electrical Equipment
GVKPIL,GVK Power & Infrastructure Limited,Civil Construction
RADIOCITY,Music Broadcast Limited,Media & Entertainment
TCIFINANCE,TCI Finance Limited,Non Banking Financial Company (NBFC)
JLHL,Jupiter Life Line Hospitals Limited,Hospital
MMWL,Media Matrix Worldwide Limited,Film Production Distribution & Exhibition
NRL,Nupur Recyclers Limited,Trading - Metals
AVG,AVG Logistics Limited,Logistics Solution Provider
SPECIALITY,Speciality Restaurants Limited,Restaurants
DOLLAR,Dollar Industries Limited,Garments & Apparels
INNOVANA,Innovana Thinklabs Limited,Computers - Software & Consulting
OSWALGREEN,Oswal Greentech Limited,Investment Company
KARMAENG,Karma Energy Limited,Power Generation
AAKASH,Aakash Exploration Services Limited,Offshore Support Solution Drilling
WSI,W S Industries (I) Limited,Civil Construction
PREMCO,Premco Global Limited,Other Textile Products
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Hotels & Resorts
ANTELOPUS,Antelopus Selan Energy Limited,Oil Exploration & Production
KNAGRI,KN Agri Resources Limited,Edible Oil
BHAGYANGR,Bhagyanagar India Limited,Copper
LFIC,Lakshmi Finance & Industrial Corporation Limited,Investment Company
PPL,Prakash Pipes Limited,Plastic Products - Industrial
VIPCLOTHNG,VIP Clothing Limited,Garments & Apparels
JINDALPHOT,Jindal Photo Limited,Investment Company
GVPIL,GE Power India Limited,Heavy Electrical Equipment
JTLIND,JTL INDUSTRIES LIMITED,Iron & Steel Products
USK,Udayshivakumar Infra Limited,Civil Construction
DEVIT,Dev Information Technology Limited,IT Enabled Services
KPEL,K.P. Energy Limited,Power Generation
ADVAIT,Advait Energy Transitions Limited,Other Electrical Equipment
SWANDEF,Swan Defence and Heavy Industries Limited,Ship Building & Allied Services
VINNY,Vinny Overseas Limited,Garments & Apparels
UTLSOLAR,Fujiyama Power Systems Limited,Other Electrical Equipment
VINYLINDIA,Vinyl Chemicals (India) Limited,Trading - Chemicals
VIVIDHA,Visagar Polytex Limited,Garments & Apparels
MAHLOG,Mahindra Logistics Limited,Logistics Solution Provider
THEINVEST,The Investment Trust Of India Limited,Other Financial Services
YASHO,Yasho Industries Limited,Specialty Chemicals
EQUITASBNK,Equitas Small Finance Bank Limited,Other Bank
NILASPACES,Nila Spaces Limited,Residential Commercial Projects
NEXTMEDIA,Next Mediaworks Limited,Media & Entertainment
NOIDATOLL,Noida Toll Bridge Company Limited,Road Assets - Toll Annuity Hybrid-Annuity
TIGERLOGS,Tiger Logistics (India) Limited,Logistics Solution Provider
KRN,KRN Heat Exchanger and Refrigeration Limited,Other Industrial Products
